LOCATION	Value
AUS	102.1963216
AUT	117.9426342
BEL	106.5053362
CAN	123.1041008
CZE	130.9036556
DNK	114.0044117
FIN	101.3752199
FRA	106.7183558
DEU	123.489252
GRC	104.742466
HUN	152.4869391
ISL	139.0600931
IRL	127.5635382
ITA	95.9944123
JPN	107.9706429
KOR	99.34085372
LUX	124.1050429
MEX	115.6632631
NLD	124.5097495
NOR	106.2928683
POL	116.4908836
PRT	134.793768
SVK	124.5840842
ESP	119.3236737
SWE	112.2002511
CHE	108.7405115
TUR	90.05545562
GBR	109.1035291
USA	118.4888107
BRA	83.08487942
CHN	128.7656004
COL	113.6666863
EST	112.8623656
IND	109.306535
IDN	98.51452978
ISR	110.986665
LVA	127.9306861
LTU	112.4648619
RUS	101.1402962
SVN	124.2951957
ZAF	98.86041062
EA	113.5484784
EA17	113.5761891
OECD	113.3174043
BGR	121.941057
ROU	108.1515472
