Year,BNPChange%,HousingIndex%
1981,9.28,-0.99
1982,9.47,1.00
1983,12.14,0.00
1984,12.42,3.96
1985,8.81,3.81
1986,9.39,5.50
1987,8.25,13.04
1988,9.32,18.46
1989,10.74,17.53
1990,10.12,12.15
1991,7.01,6.90
1992,0.20,-9.22
1993,0.49,-11.17
1994,6.62,4.57
1995,7.90,0.55
1996,2.60,0.54
1997,4.64,7.03
1998,5.16,9.60
1999,5.18,9.22
2000,6.34,10.97
2001,3.97,7.98
2002,3.78,6.34
2003,4.05,6.62
2004,4.68,9.63
2005,3.56,9.63
2006,6.50,11.37
2007,6.36,10.67
2008,2.77,2.94
2009,-2.08,2.04
2010,6.96,7.39
2011,4.32,0.74
2012,0.41,-1.29
2013,2.13,3.55
2014,4.45,6.86
2015,6.71,10.81
2016,3.63,8.38
2017,4.76,8.30
2018,4.39,0.00
2019,3.99,2.73
